date,type,tweet_count
2010-09-29,original,43
2010-09-30,original,44
2010-10-01,original,31
2010-10-02,original,42
2010-10-03,original,14
2010-10-04,original,67
2010-10-05,original,41
2010-10-06,original,27
2010-10-07,original,30
2010-10-08,original,39
2010-10-09,original,35
2010-10-10,original,32
2010-10-11,original,39
2010-10-12,original,104
2010-10-13,original,57
2010-10-14,original,28
2010-10-15,original,45
2010-10-16,original,33
2010-10-17,original,18
2010-10-18,original,23
2010-10-19,original,36
2010-10-20,original,31
2010-10-21,original,21
2010-10-22,original,26
2010-10-23,original,19
2010-10-24,original,30
2010-10-25,original,40
2010-10-26,original,31
2010-10-27,original,19
2010-10-28,original,28
2010-10-29,original,34
2010-10-30,original,18
2010-10-31,original,20
2010-11-01,original,101
2010-11-02,original,64
2010-11-03,original,45
2010-11-04,original,38
2010-11-05,original,38
2010-11-06,original,23
2010-11-07,original,17
2010-11-08,original,26
2010-11-09,original,49
2010-11-10,original,20
2010-11-11,original,33
2010-11-12,original,37
2010-11-13,original,18
2010-11-14,original,26
2010-11-15,original,33
2010-11-16,original,98
2010-11-17,original,97
2010-11-18,original,36
2010-11-19,original,28
2010-11-20,original,31
2010-11-21,original,36
2010-11-22,original,108
2010-11-23,original,27
2010-11-24,original,27
2010-11-25,original,30
2010-11-26,original,21
2010-11-27,original,37
2010-11-28,original,49
2010-11-29,original,42
2010-11-30,original,56
2010-12-01,original,51
2010-12-02,original,46
2010-12-03,original,35
2010-12-04,original,24
2010-12-05,original,29
2010-12-06,original,40
2010-12-07,original,31
2010-12-08,original,37
2010-12-09,original,25
2010-12-10,original,21
2010-12-11,original,45
2010-12-12,original,24
2010-12-13,original,40
2010-12-14,original,203
2010-12-15,original,43
2010-12-16,original,42
2010-12-17,original,29
2010-12-18,original,24
2010-12-19,original,16
2010-12-20,original,38
